INCIDENT_NUMBER,OFFENSE_DESCRIPTION,SHOOTING,OCCURRED_ON_DATE,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Neighborhood_Geopy
222161312.0,LANDLORD - TENANT,0.0,2022-08-12 20:40:00,8.0,Friday,20.0,JETTE CT,42.3468,-71.1432,Brighton
222111641.0,LARCENY ALL OTHERS,0.0,2022-02-14 12:30:00,2.0,Monday,12.0,WASHINGTON ST,42.3491,-71.1505,Brighton
222107076.0,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),0.0,2022-03-11 10:45:00,3.0,Friday,10.0,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.3335,-71.0735,South End
222094667.0,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,0.0,2022-06-24 00:00:00,6.0,Friday,0.0,COLUMBUS AVE,42.3456,-71.0756,South End
22209348.0,ASSAULT - SIMPLE,0.0,2022-02-08 22:37:00,2.0,Tuesday,22.0,DORCHESTER AVE,42.3214,-71.0568,Dorchester
222079774.0,FIRE REPORT,0.0,2022-10-16 03:47:00,10.0,Sunday,3.0,"SARATOGA ST & MARION ST
EAST BOSTON  MA 02128
UNIT",42.3766,-71.0363,East Boston
222079772.0,INVESTIGATE PROPERTY,0.0,2022-10-16 02:51:00,10.0,Sunday,2.0,GOODENOUGH ST,42.3562,-71.1542,Brighton
222079767.0,THREATS TO DO BODILY HARM,0.0,2022-10-16 03:23:00,10.0,Sunday,3.0,FOSTER ST,42.3674,-71.0543,North End
222079762.0,TOWED MOTOR VEHICLE,0.0,2022-10-16 03:00:00,10.0,Sunday,3.0,N BEACON ST,42.3567,-71.151,Brighton
222079761.0,INVESTIGATE PERSON,1.0,2022-10-16 02:42:00,10.0,Sunday,2.0,BOTHWELL RD,42.3532,-71.1609,Brighton
222079758.0,INVESTIGATE PERSON,0.0,2022-10-16 01:53:00,10.0,Sunday,1.0,LANSDOWNE ST,42.3472,-71.0964,Fenway/Kenmore
222079756.0,INVESTIGATE PROPERTY,0.0,2022-10-16 01:33:00,10.0,Sunday,1.0,SEAVER ST,42.3114,-71.0933,Roxbury
222079755.0,NOISY PARTY/RADIO-NO ARREST,0.0,2022-10-16 00:41:00,10.0,Sunday,0.0,FLOYD ST,42.2895,-71.0885,Mattapan
222079742.0,ASSAULT - AGGRAVATED,0.0,2022-10-16 00:00:00,10.0,Sunday,0.0,CHELSEA ST,42.3742,-71.0338,East Boston
222079739.0,THREATS TO DO BODILY HARM,0.0,2022-10-15 23:46:00,10.0,Saturday,23.0,FAIRMOUNT ST,42.281,-71.0721,Dorchester
222079738.0,VANDALISM,0.0,2022-10-16 00:30:00,10.0,Sunday,0.0,GAINSBOROUGH ST,42.3424,-71.0887,Fenway/Kenmore
222079734.0,SICK/INJURED/MEDICAL - POLICE,0.0,2022-10-16 00:19:00,10.0,Sunday,0.0,MARKET ST,42.3529,-71.1511,Brighton
222079730.0,ASSAULT - SIMPLE,0.0,2022-10-15 23:22:00,10.0,Saturday,23.0,ROSEWOOD ST,42.2676,-71.0985,Mattapan
222079728.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 23:25:00,10.0,Saturday,23.0,ITASCA ST,42.2725,-71.1035,Mattapan
222079726.0,INVESTIGATE PERSON,0.0,2022-10-15 22:28:00,10.0,Saturday,22.0,WASHINGTON ST,42.35,-71.0635,No Details
222079722.0,SICK ASSIST - DRUG RELATED ILLNESS,0.0,2022-10-15 22:43:00,10.0,Saturday,22.0,W BROADWAY,42.3393,-71.0516,South Boston
222079721.0,ASSAULT - SIMPLE,0.0,2022-10-15 22:15:00,10.0,Saturday,22.0,"PROVINCE ST & BROMFIELD ST
BOSTON  MA 02108
UNITED",42.3567,-71.0602,Downtown Boston
222079720.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 15:50:00,10.0,Saturday,15.0,GIBSON ST,42.2976,-71.0597,Dorchester
222079719.0,SICK/INJURED/MEDICAL - PERSON,0.0,2022-10-15 22:30:00,10.0,Saturday,22.0,ALLSTATE RD,42.3281,-71.0632,Dorchester
222079718.0,INVESTIGATE PERSON,0.0,2022-10-15 22:05:00,10.0,Saturday,22.0,DUDLEY ST,42.321,-71.0722,Roxbury
222079716.0,VERBAL DISPUTE,0.0,2022-10-15 22:37:00,10.0,Saturday,22.0,DORCHESTER AVE,42.3354,-71.0571,South Boston
222079714.0,SICK ASSIST,0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,WASHINGTON ST,42.3141,-71.1,Jamaica Plain
222079710.0,VAL - VIOLATION OF AUTO LAW,0.0,2022-10-15 21:20:00,10.0,Saturday,21.0,NEW ENGLAND AVE,42.2887,-71.0781,Dorchester
222079709.0,LARCENY SHOPLIFTING,0.0,2022-10-15 22:04:00,10.0,Saturday,22.0,WILLIAM T MORRISSEY BLVD,42.2968,-71.0485,Dorchester
222079707.0,DEATH INVESTIGATION,0.0,2022-10-15 21:45:00,10.0,Saturday,21.0,MARCELLA ST,42.3216,-71.0946,Roxbury
222079704.0,SICK ASSIST,0.0,2022-10-15 21:46:00,10.0,Saturday,21.0,CHARLESGATE E,42.347,-71.0911,Fenway/Kenmore
222079703.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 21:30:00,10.0,Saturday,21.0,"QUINCY ST & CLARKSON ST
BOSTON  MA 02125
UNITED ST",42.3091,-71.0663,Dorchester
222079700.0,SICK ASSIST,0.0,2022-10-15 21:00:00,10.0,Saturday,21.0,BOSTON ST,42.3233,-71.0604,Dorchester
222079699.0,LICENSE PREMISE VIOLATION,0.0,2022-10-15 21:44:00,10.0,Saturday,21.0,SUMMER ST,42.3377,-71.0355,South Boston
222079698.0,MISSING PERSON,0.0,2022-10-15 20:35:00,10.0,Saturday,20.0,BLUE HILL AVE,42.3043,-71.0848,Roxbury
222079697.0,INVESTIGATE PROPERTY,0.0,2022-10-15 21:11:00,10.0,Saturday,21.0,SOLDIERS FIELD RD,42.3593,-71.1539,Brighton
222079696.0,INVESTIGATE PERSON,0.0,2022-10-15 21:13:00,10.0,Saturday,21.0,FAULKNER ST,42.2996,-71.0609,Dorchester
222079694.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 15:19:00,10.0,Saturday,15.0,ALPHA RD,42.2958,-71.0688,Dorchester
222079693.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 19:33:00,10.0,Saturday,19.0,CHILCOTT PL,42.3133,-71.0997,Roxbury
222079692.0,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,0.0,2022-10-15 21:09:00,10.0,Saturday,21.0,TREMONT ST,42.3554,-71.0631,Beacon Hill
222079691.0,ROBBERY,0.0,2022-10-15 20:45:00,10.0,Saturday,20.0,HUNTINGTON AVE,42.3333,-71.1085,Mission Hill
222079689.0,INVESTIGATE PROPERTY,0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,WALNUT PARK,42.3152,-71.096,Roxbury
222079687.0,SICK ASSIST,0.0,2022-10-15 17:30:00,10.0,Saturday,17.0,SARATOGA ST,42.3869,-71.0074,East Boston
222079686.0,INVESTIGATE PERSON,0.0,2022-10-15 20:25:00,10.0,Saturday,20.0,LYON ST,42.3064,-71.0602,Dorchester
222079685.0,SICK ASSIST - DRUG RELATED ILLNESS,0.0,2022-10-15 20:18:00,10.0,Saturday,20.0,COLUMBIA RD,42.3175,-71.0645,Dorchester
222079683.0,VERBAL DISPUTE,0.0,2022-10-15 20:41:00,10.0,Saturday,20.0,"SUMMER ST & D ST
SOUTH BOSTON  MA 02210
UNITED STA",42.3463,-71.0421,South Boston
222079679.0,M/V ACCIDENT - OTHER,0.0,2022-10-15 20:22:00,10.0,Saturday,20.0,EXETER ST,42.3491,-71.0793,Back Bay
222079678.0,SICK/INJURED/MEDICAL - PERSON,0.0,2022-10-15 19:46:00,10.0,Saturday,19.0,G ST,42.3342,-71.0442,South Boston
222079676.0,ASSAULT - SIMPLE,0.0,2022-10-15 19:25:00,10.0,Saturday,19.0,WENONAH ST,42.3132,-71.0851,Roxbury
222079675.0,INVESTIGATE PROPERTY,0.0,2022-10-14 20:02:00,10.0,Friday,20.0,N BEACON ST & GOODENOUGH ST,42.3574,-71.1537,Brighton
222079674.0,LARCENY PICK-POCKET,0.0,2022-10-15 18:00:00,10.0,Saturday,18.0,WASHINGTON ST,42.3565,-71.0593,Downtown Boston
222079673.0,INVESTIGATE PERSON,0.0,2022-10-15 15:20:00,10.0,Saturday,15.0,PARIS ST,42.3708,-71.0393,East Boston
222079672.0,MISSING PERSON,0.0,2022-10-10 10:00:00,10.0,Monday,10.0,CORNELL ST,42.2765,-71.131,Roslindale
222079671.0,SICK ASSIST - DRUG RELATED ILLNESS,0.0,2022-10-15 19:36:00,10.0,Saturday,19.0,MASSACHUSETTS AVE,42.3411,-71.0825,South End
222079670.0,SICK ASSIST,0.0,2022-10-15 19:20:00,10.0,Saturday,19.0,SEAPORT BLVD,42.3528,-71.0475,South Boston
222079669.0,ASSAULT - AGGRAVATED,0.0,2022-10-15 18:46:00,10.0,Saturday,18.0,BLUE HILL AVE,42.3094,-71.0826,Roxbury
222079668.0,SICK ASSIST,0.0,2022-10-15 19:13:00,10.0,Saturday,19.0,"BOURNESIDE ST & MELVILLE AVE
DORCHESTER  MA 02122
",42.2958,-71.0625,Dorchester
222079666.0,INVESTIGATE PERSON,0.0,2022-10-15 18:42:00,10.0,Saturday,18.0,WESTLAND AVE,42.3438,-71.0887,Fenway/Kenmore
222079663.0,INVESTIGATE PERSON,0.0,2022-10-15 19:00:00,10.0,Saturday,19.0,CENTRE ST,42.2871,-71.1482,Roxbury
222079662.0,LICENSE PREMISE VIOLATION,0.0,2022-10-15 19:16:00,10.0,Saturday,19.0,CAUSEWAY ST,42.365,-71.062,West End
222079661.0,VANDALISM,0.0,2022-10-15 18:30:00,10.0,Saturday,18.0,CLAREMONT PARK,42.3421,-71.0812,South End
222079660.0,INVESTIGATE PERSON,0.0,2022-10-15 18:38:00,10.0,Saturday,18.0,FREEPORT ST,42.2919,-71.0481,Dorchester
222079657.0,PROPERTY - LOST/ MISSING,0.0,2022-10-14 17:30:00,10.0,Friday,17.0,WASHINGTON ST,42.3097,-71.1043,Jamaica Plain
222079656.0,PROPERTY - FOUND,0.0,2022-10-14 00:00:00,10.0,Friday,0.0,CENTRE ST,42.2871,-71.1482,Roxbury
222079655.0,HARASSMENT/ CRIMINAL HARASSMENT,0.0,2022-10-15 15:49:00,10.0,Saturday,15.0,SUNNYSIDE ST,42.3237,-71.1073,Jamaica Plain
222079654.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 18:03:00,10.0,Saturday,18.0,RIVER ST,42.2584,-71.1182,Hyde Park
222079653.0,PROPERTY - FOUND,0.0,2022-10-15 18:00:00,10.0,Saturday,18.0,NEW SUDBURY ST,42.3618,-71.0598,No Details
222079651.0,LARCENY THEFT OF MV PARTS & ACCESSORIES,0.0,2022-10-14 18:00:00,10.0,Friday,18.0,COLUMBIA RD,42.3136,-71.0678,Dorchester
222079650.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 18:09:00,10.0,Saturday,18.0,BRADFORD ST,42.3425,-71.069,South End
222079649.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,W WALNUT PARK,42.3172,-71.0988,Roxbury
222079648.0,LICENSE PREMISE VIOLATION,0.0,2022-10-15 18:13:00,10.0,Saturday,18.0,HANOVER ST,42.3638,-71.0545,North End
222078179.0,VANDALISM,0.0,2022-10-10 15:50:00,10.0,Monday,15.0,ELIOT ST,42.3102,-71.116,Jamaica Plain
222079645.0,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,GENEVA AVE,42.2998,-71.0653,Dorchester
222079643.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 16:30:00,10.0,Saturday,16.0,WASHINGTON ST,42.3097,-71.1043,Jamaica Plain
222079642.0,FRAUD - WIRE,0.0,2022-09-28 00:00:00,9.0,Wednesday,0.0,HARRISON AVE,42.3395,-71.0694,South End
222079641.0,ASSAULT - AGGRAVATED,0.0,2022-10-15 17:23:00,10.0,Saturday,17.0,MASSACHUSETTS AVE,42.3255,-71.0658,Dorchester
222079639.0,INVESTIGATE PERSON,0.0,2022-10-15 16:39:00,10.0,Saturday,16.0,NEWBURY ST,42.3524,-71.0723,Back Bay
222079638.0,PROPERTY - LOST/ MISSING,0.0,2022-10-15 14:00:00,10.0,Saturday,14.0,HARRISON AVE,42.3395,-71.0694,South End
222079637.0,INVESTIGATE PROPERTY,0.0,2022-10-15 16:28:00,10.0,Saturday,16.0,LINCOLN ST,42.3513,-71.0584,Downtown Boston
222079636.0,INVESTIGATE PERSON,0.0,2022-10-15 16:28:00,10.0,Saturday,16.0,BRIGHTON AVE,42.3527,-71.1293,Allston
222079635.0,SICK/INJURED/MEDICAL - PERSON,0.0,2022-10-15 16:27:00,10.0,Saturday,16.0,"WALWORTH ST & CORNELL ST
ROSLINDALE  MA 02131
UNIT",42.2807,-71.1372,Roslindale
222079633.0,HARASSMENT/ CRIMINAL HARASSMENT,0.0,2022-10-15 16:00:00,10.0,Saturday,16.0,E SEVENTH ST,42.3323,-71.0363,South Boston
222079631.0,THREATS TO DO BODILY HARM,0.0,2022-10-15 14:59:00,10.0,Saturday,14.0,HIAWATHA RD,42.2768,-71.0953,Mattapan
222079628.0,FRAUD - WIRE,0.0,2022-09-30 00:00:00,9.0,Friday,0.0,HUNTINGTON AVE,42.3416,-71.0864,Fenway/Kenmore
222079627.0,LARCENY PURSE SNATCH - NO FORCE,0.0,2022-10-15 15:00:00,10.0,Saturday,15.0,HYDE PARK AVE,42.267,-71.121,Hyde Park
222079624.0,VERBAL DISPUTE,0.0,2022-10-15 15:28:00,10.0,Saturday,15.0,RIVER ST,42.2719,-71.0716,Mattapan
222079620.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 15:12:00,10.0,Saturday,15.0,HYDE PARK AVE,42.2918,-71.1178,Roslindale
222079619.0,LARCENY THEFT OF MV PARTS & ACCESSORIES,0.0,2022-10-09 20:00:00,10.0,Sunday,20.0,PARIS ST,42.3708,-71.0393,East Boston
222079618.0,INVESTIGATE PROPERTY,0.0,2022-10-15 15:19:00,10.0,Saturday,15.0,GLENWAY ST,42.2969,-71.0807,Roxbury
222079617.0,MISSING PERSON,0.0,2022-10-15 15:51:00,10.0,Saturday,15.0,GIBSON ST,42.2976,-71.0597,Dorchester
222079616.0,HARASSMENT/ CRIMINAL HARASSMENT,0.0,2022-10-15 14:45:00,10.0,Saturday,14.0,WASHINGTON ST,42.3097,-71.1043,Jamaica Plain
222079613.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,"AMERICAN LEGION HWY & CUMMINS HWY
ROSLINDALE  MA 0",42.2794,-71.1167,Roslindale
222079609.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 14:55:00,10.0,Saturday,14.0,VAN NESS ST,42.3449,-71.0999,Fenway/Kenmore
222079608.0,PROPERTY - LOST/ MISSING,0.0,2022-10-08 00:00:00,10.0,Saturday,0.0,MOUNT HOPE ST,42.282,-71.1142,Roslindale
222079606.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 14:13:00,10.0,Saturday,14.0,FRANKLIN ST,42.2523,-71.1328,Hyde Park
222079604.0,INVESTIGATE PERSON,0.0,2022-10-15 13:36:00,10.0,Saturday,13.0,ABBOT ST,42.2969,-71.0858,Roxbury
222079603.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 14:00:00,10.0,Saturday,14.0,"ADAMS ST & ASHMONT ST
DORCHESTER  MA 02124
UNITED ",42.2882,-71.0554,Dorchester
222079602.0,SICK ASSIST,0.0,2022-10-15 14:08:00,10.0,Saturday,14.0,BOWDOIN AVE,42.3023,-71.0763,Dorchester
222079600.0,INVESTIGATE PERSON,0.0,2022-10-15 14:21:00,10.0,Saturday,14.0,MURDOCK ST,42.3543,-71.1456,Brighton
222079599.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 14:05:00,10.0,Saturday,14.0,MONTEBELLO RD,42.3118,-71.0997,Roxbury
222079597.0,INVESTIGATE PERSON,0.0,2022-10-15 13:38:00,10.0,Saturday,13.0,STUART ST,42.3509,-71.064,No Details
222079595.0,SICK ASSIST,0.0,2022-10-15 12:53:00,10.0,Saturday,12.0,"ALBANY ST & NORTHAMPTON ST
BOSTON  MA 02118
UNITED",42.3328,-71.0744,South End
222079594.0,PROPERTY - LOST/ MISSING,0.0,2022-10-15 12:11:00,10.0,Saturday,12.0,NEW SUDBURY ST,42.3618,-71.0598,No Details
222079591.0,ASSAULT - SIMPLE,0.0,2022-10-15 13:48:00,10.0,Saturday,13.0,SHAWMUT AVE,42.3388,-71.0757,South End
222079590.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 13:51:00,10.0,Saturday,13.0,HARRISON AVE,42.3395,-71.0694,South End
222079589.0,M/V ACCIDENT - PERSONAL INJURY,0.0,2022-10-15 13:16:00,10.0,Saturday,13.0,MASSACHUSETTS AVE,42.3255,-71.0658,Dorchester
222079587.0,LARCENY THEFT OF BICYCLE,0.0,2022-10-15 13:01:00,10.0,Saturday,13.0,W BROADWAY,42.3423,-71.0563,South Boston
222079586.0,VANDALISM,0.0,2022-10-15 13:15:00,10.0,Saturday,13.0,WASHINGTON ST,42.3491,-71.1505,Brighton
222079585.0,SICK ASSIST,0.0,2022-10-15 12:38:00,10.0,Saturday,12.0,FRUIT ST,42.3624,-71.0695,West End
222079582.0,FIRE REPORT,0.0,2022-10-15 11:20:00,10.0,Saturday,11.0,HYDE PARK AVE,42.2597,-71.1232,Hyde Park
222079580.0,PROPERTY - FOUND,0.0,2022-10-14 13:02:00,10.0,Friday,13.0,WASHINGTON ST,42.3491,-71.1505,Brighton
222079579.0,PROPERTY - LOST/ MISSING,0.0,2022-10-13 19:00:00,10.0,Thursday,19.0,HARRISON AVE,42.3395,-71.0694,South End
222079578.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 12:26:00,10.0,Saturday,12.0,"BELGRADE AVE & ROBERT ST
ROSLINDALE  MA 02131
UNIT",42.2867,-71.1311,Roslindale
222079577.0,INVESTIGATE PERSON,0.0,2022-10-15 12:26:00,10.0,Saturday,12.0,CHENEY ST,42.3088,-71.0841,Roxbury
222079576.0,VANDALISM,0.0,2022-10-15 12:27:00,10.0,Saturday,12.0,CAMBRIDGE ST,42.3838,-71.0748,Charlestown
222079575.0,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,0.0,2022-10-14 20:30:00,10.0,Friday,20.0,CENTRE ST,42.2871,-71.1482,Roxbury
222079572.0,VERBAL DISPUTE,0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,BOWDOIN ST,42.3604,-71.0629,Beacon Hill
222079570.0,M/V ACCIDENT - PERSONAL INJURY,0.0,2022-10-15 11:17:00,10.0,Saturday,11.0,"FLOYD ST & LUCERNE ST
DORCHESTER  MA 02124
UNITED ",42.2889,-71.0875,Mattapan
222079569.0,MISSING PERSON,0.0,2022-08-01 00:01:00,8.0,Monday,0.0,W BROADWAY,42.3413,-71.0547,South Boston
222079567.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 09:27:00,10.0,Saturday,9.0,THELMA RD,42.2946,-71.054,Dorchester
222079566.0,INVESTIGATE PROPERTY,0.0,2022-10-15 12:00:00,10.0,Saturday,12.0,LEGENDS WAY,42.3664,-71.0614,West End
222079565.0,M/V ACCIDENT - OTHER,0.0,2022-10-15 11:32:00,10.0,Saturday,11.0,CHILDREN'S WAY,42.3371,-71.1068,Fenway/Kenmore
222079561.0,ASSAULT - AGGRAVATED,0.0,2022-10-15 11:22:00,10.0,Saturday,11.0,CENTRE ST,42.3119,-71.1143,Jamaica Plain
222079560.0,PROPERTY - LOST/ MISSING,0.0,2022-10-14 12:15:00,10.0,Friday,12.0,NEW SUDBURY ST,42.3618,-71.0598,No Details
222079559.0,HARASSMENT/ CRIMINAL HARASSMENT,0.0,2022-10-15 10:00:00,10.0,Saturday,10.0,CALLENDER ST,42.2879,-71.085,Mattapan
222079558.0,VAL - VIOLATION OF AUTO LAW,0.0,2022-10-15 10:16:00,10.0,Saturday,10.0,COLUMBIA RD,42.3065,-71.0773,Roxbury
222079557.0,ROBBERY,0.0,2022-10-15 01:30:00,10.0,Saturday,1.0,PARIS ST,42.3708,-71.0393,East Boston
222079556.0,AFFRAY,0.0,2022-10-15 11:00:00,10.0,Saturday,11.0,ALLSTATE RD,42.327,-71.062,Dorchester
222079554.0,SICK ASSIST,0.0,2022-10-15 10:29:00,10.0,Saturday,10.0,DUDLEY ST,42.321,-71.0722,Roxbury
222079553.0,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,0.0,2022-10-15 10:41:00,10.0,Saturday,10.0,JEWISH WAR VETERANS DR,42.3035,-71.0992,Roxbury
222079552.0,SICK ASSIST,0.0,2022-10-15 10:10:00,10.0,Saturday,10.0,CYPRESS RD,42.3545,-71.1497,Brighton
222079551.0,INVESTIGATE PERSON,0.0,2022-10-15 00:00:00,10.0,Saturday,0.0,GIBSON ST,42.2976,-71.0597,Dorchester
222079550.0,SICK ASSIST,0.0,2022-10-15 10:32:00,10.0,Saturday,10.0,"CAUSEWAY ST & PORTLAND ST
BOSTON  MA 02114
UNITED ",42.3648,-71.0623,West End
222079549.0,PROPERTY - FOUND,0.0,2022-10-15 10:47:00,10.0,Saturday,10.0,"TREMONT ST & WORTHINGTON ST
ROXBURY  MA 02120
UNIT",42.3334,-71.1027,Mission Hill
222079546.0,LARCENY THEFT FROM MV - NON-ACCESSORY,0.0,2022-10-15 10:36:00,10.0,Saturday,10.0,BLUE HILL AVE,42.2848,-71.0914,Mattapan
222079545.0,VAL - VIOLATION OF AUTO LAW,0.0,2022-10-15 10:00:00,10.0,Saturday,10.0,GENEVA AVE,42.2985,-71.0631,Dorchester
222079543.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 09:13:00,10.0,Saturday,9.0,"STELLMAN RD & FAWNDALE RD
ROSLINDALE  MA 02131
UNI",42.2889,-71.1214,Roslindale
222079541.0,TOWED MOTOR VEHICLE,0.0,2022-10-15 08:30:00,10.0,Saturday,8.0,COURT SQ,42.3586,-71.0592,Downtown Boston
222079540.0,MISSING PERSON,0.0,2022-04-06 12:57:00,4.0,Wednesday,12.0,WASHINGTON ST,42.3097,-71.1043,Jamaica Plain
222079539.0,INVESTIGATE PERSON,0.0,2022-10-14 21:44:00,10.0,Friday,21.0,S HOBART ST,42.3514,-71.1581,Brighton
222079538.0,PROPERTY - FOUND,0.0,2022-10-15 10:05:00,10.0,Saturday,10.0,FRIEND ST,42.3644,-71.0609,West End
222079537.0,LARCENY THEFT FROM MV - NON-ACCESSORY,0.0,2022-10-14 23:59:00,10.0,Friday,23.0,HARRISON AVE,42.3358,-71.074,South End
222079536.0,SICK ASSIST,0.0,2022-10-15 09:48:00,10.0,Saturday,9.0,BOYLSTON ST,42.3486,-71.0828,Back Bay
222079535.0,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,0.0,2022-10-14 18:00:00,10.0,Friday,18.0,WASHINGTON ST,42.3491,-71.1505,Brighton
222079533.0,PROPERTY - LOST/ MISSING,0.0,2022-10-14 16:00:00,10.0,Friday,16.0,HARRISON AVE,42.3395,-71.0694,South End
222079532.0,FRAUD - FALSE PRETENSE / SCHEME,0.0,2022-09-30 12:00:00,9.0,Friday,12.0,CENTRE ST,42.2871,-71.1482,Roxbury
222079530.0,MISSING PERSON,0.0,2022-10-15 09:03:00,10.0,Saturday,9.0,ASTORIA ST,42.2802,-71.0869,Mattapan
222079528.0,PROPERTY - LOST/ MISSING,0.0,2022-10-14 18:00:00,10.0,Friday,18.0,TREMONT ST,42.3377,-71.0834,South End
222079527.0,DANGEROUS OR HAZARDOUS CONDITION,0.0,2022-10-14 16:22:00,10.0,Friday,16.0,"DEVONSHIRE ST & SUMMER ST
BOSTON  MA 02110
UNITED ",42.3537,-71.058,Downtown Boston
222079526.0,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,0.0,2022-10-15 08:52:00,10.0,Saturday,8.0,RIVER ST,42.2668,-71.0957,Mattapan
222079525.0,ASSAULT - AGGRAVATED,0.0,2022-10-15 08:28:00,10.0,Saturday,8.0,"ATKINSON ST & SOUTHAMPTON ST
ROXBURY  MA 02118
UNI",42.3319,-71.0691,Dorchester
222079524.0,VANDALISM,0.0,2022-10-15 07:29:00,10.0,Saturday,7.0,BOSTON ST,42.3289,-71.0574,South Boston
222079523.0,M/V - LEAVING SCENE - PROPERTY DAMAGE,0.0,2022-10-15 02:15:00,10.0,Saturday,2.0,VICTORY RD,42.296,-71.0537,Dorchester
222079522.0,VANDALISM,0.0,2022-10-15 02:00:00,10.0,Saturday,2.0,ALBANY ST,42.3343,-71.0724,South End
222079520.0,AUTO THEFT,0.0,2022-10-14 18:45:00,10.0,Friday,18.0,GIBSON ST,42.2976,-71.0597,Dorchester
222079519.0,M/V ACCIDENT - PROPERTY DAMAGE,0.0,2022-10-15 07:56:00,10.0,Saturday,7.0,BOSTON ST,42.3233,-71.0604,Dorchester
222079516.0,INVESTIGATE PERSON,0.0,2022-10-15 06:05:00,10.0,Saturday,6.0,N BEACON ST,42.3567,-71.151,Brighton
222079515.0,INVESTIGATE PROPERTY,0.0,2022-10-15 05:24:00,10.0,Saturday,5.0,KEMBLE ST,42.3292,-71.0735,Roxbury
